method,size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
qsr,1627677294,12,13,../datasets/sift,12.5903,0.9984,1,128,0,2
qsr,247694167,1,14,../datasets/sift,1.91595,0.0486,1.39585,128,0,2
qsr,381790314,2,14,../datasets/sift,2.9532,0.1743,1.16629,128,0,2
qsr,510106986,3,14,../datasets/sift,3.94575,0.5009,1.02956,128,0,2
qsr,636184885,4,14,../datasets/sift,4.92098,0.7229,1.00717,128,0,2
qsr,767285643,5,14,../datasets/sift,5.93507,0.8584,1.00163,128,0,2
qsr,893269209,6,14,../datasets/sift,6.90957,0.9249,1.00042,128,0,2
qsr,1022622031,7,14,../datasets/sift,7.91013,0.9643,1.00009,128,0,2
qsr,1156999505,8,14,../datasets/sift,8.94956,0.9794,1.00003,128,0,2
qsr,1282008344,9,14,../datasets/sift,9.91652,0.991,1.00001,128,0,2
qsr,1413157137,10,14,../datasets/sift,10.931,0.9957,1,128,0,2
qsr,1541025198,11,14,../datasets/sift,11.9201,0.9977,1,128,0,2
qsr,1667232998,12,14,../datasets/sift,12.8963,0.9989,1,128,0,2
qsr,1763465323,13,14,../datasets/sift,13.6407,0.9992,1,128,0,2
qsr,254995243,1,15,../datasets/sift,1.97243,0.0497,1.40341,128,0,2
qsr,382954803,2,15,../datasets/sift,2.96221,0.2652,1.09996,128,0,2
qsr,511969920,3,15,../datasets/sift,3.96016,0.5115,1.02906,128,0,2
qsr,645172371,4,15,../datasets/sift,4.9905,0.6989,1.00855,128,0,2
qsr,774079180,5,15,../datasets/sift,5.98762,0.8475,1.00194,128,0,2
qsr,902951176,6,15,../datasets/sift,6.98446,0.9202,1.00048,128,0,2
qsr,1026101390,7,15,../datasets/sift,7.93705,0.9618,1.00011,128,0,2
qsr,1158949239,8,15,../datasets/sift,8.96464,0.9802,1.00003,128,0,2
qsr,1289586152,9,15,../datasets/sift,9.97514,0.9894,1.00001,128,0,2
qsr,1417596691,10,15,../datasets/sift,10.9653,0.9958,1,128,0,2
qsr,1542703719,11,15,../datasets/sift,11.933,0.9974,1,128,0,2
qsr,1674517691,12,15,../datasets/sift,12.9526,0.9991,1,128,0,2
qsr,1794414967,13,15,../datasets/sift,13.8801,0.9995,1,128,0,2
qsr,1887069125,14,15,../datasets/sift,14.5968,0.9993,1,128,0,2
qsr,823826689,6,8,../datasets/sift,6.37242,0.9611,1.00012,128,0,16
qsr,193547254,1,3,../datasets/sift,1.49712,0.2384,1.11743,128,0,16
qsr,260676333,2,4,../datasets/sift,2.01637,0.5001,1.03129,128,0,16
qsr,357703923,3,5,../datasets/sift,2.76689,0.7183,1.00782,128,0,16
qsr,499067045,4,6,../datasets/sift,3.86036,0.8543,1.00185,128,0,16
qsr,658197269,5,7,../datasets/sift,5.09125,0.9177,1.00052,128,0,16
qsr,827171796,6,8,../datasets/sift,6.3983,0.9589,1.00011,128,0,16
qsr,999172148,7,9,../datasets/sift,7.72874,0.9799,1.00003,128,0,16
qsr,133370898,1,2,../datasets/sift,1.03164,0.0942,1.31348,128,0,16
qsr,193541605,2,3,../datasets/sift,1.49707,0.2419,1.12006,128,0,16
qsr,258120628,3,4,../datasets/sift,1.9966,0.5019,1.03027,128,0,16
qsr,355819567,4,5,../datasets/sift,2.75232,0.7182,1.00786,128,0,16
qsr,491541718,5,6,../datasets/sift,3.80215,0.8464,1.00196,128,0,16
qsr,656984913,6,7,../datasets/sift,5.08188,0.9226,1.00045,128,0,16
qsr,829638473,7,8,../datasets/sift,6.41738,0.9581,1.00013,128,0,16
qsr,1003188954,8,9,../datasets/sift,7.75982,0.9801,1.00003,128,0,16
qsr,259220350,1,4,../datasets/sift,2.00511,0.4945,1.03283,128,0,16
qsr,359007520,2,5,../datasets/sift,2.77698,0.7164,1.00787,128,0,16
