size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
9.47880698E8,6,9,../datasets/clusters,-9.47880698E8,0.8698,1.00043,128,0.0,4,
1.002230896E9,7,9,../datasets/clusters,-1.002230896E9,0.9215,1.00015,128,0.0,4,
1.004101646E9,8,9,../datasets/clusters,-1.004101646E9,0.9255,1.00013,128,0.0,4,
4.61468681E8,1,10,../datasets/clusters,-4.61468681E8,0.0843,1.06766,128,0.0,8,
5.89156009E8,2,10,../datasets/clusters,-5.89156009E8,0.3108,1.02208,128,0.0,8,
7.25266909E8,3,10,../datasets/clusters,-7.25266909E8,0.5733,1.00605,128,0.0,8,
8.61756469E8,4,10,../datasets/clusters,-8.61756469E8,0.766,1.00152,128,0.0,8,
9.97188353E8,5,10,../datasets/clusters,-9.97188353E8,0.878,1.00038,128,0.0,8,
1.110839057E9,6,10,../datasets/clusters,-1.110839057E9,0.9382,1.00009,128,0.0,8,
1.155401543E9,7,10,../datasets/clusters,-1.155401543E9,0.9606,1.00003,128,0.0,8,
1.156648159E9,8,10,../datasets/clusters,-1.156648159E9,0.9611,1.00004,128,0.0,8,
1.157005581E9,9,10,../datasets/clusters,-1.157005581E9,0.9612,1.00003,128,0.0,8,
9.1302211E7,1,2,../datasets/clusters,-9.1302211E7,6.0E-4,1.22377,128,0.0,8,
1.29244866E8,1,3,../datasets/clusters,-1.29244866E8,0.0037,1.17631,128,0.0,8,
1.29430834E8,2,3,../datasets/clusters,-1.29430834E8,0.0049,1.17683,128,0.0,8,
2.37979146E8,1,4,../datasets/clusters,-2.37979146E8,0.0313,1.09914,128,0.0,8,
2.38647845E8,2,4,../datasets/clusters,-2.38647845E8,0.0343,1.09738,128,0.0,8,
2.38893433E8,3,4,../datasets/clusters,-2.38893433E8,0.0337,1.09787,128,0.0,8,
3.50775043E8,1,5,../datasets/clusters,-3.50775043E8,0.0765,1.0686,128,0.0,8,
3.94729545E8,2,5,../datasets/clusters,-3.94729545E8,0.2123,1.033,128,0.0,8,
3.96610026E8,3,5,../datasets/clusters,-3.96610026E8,0.2203,1.03232,128,0.0,8,
3.96801466E8,4,5,../datasets/clusters,-3.96801466E8,0.2201,1.03159,128,0.0,8,
3.89311809E8,1,6,../datasets/clusters,-3.89311809E8,0.0873,1.06757,128,0.0,8,
5.0239484E8,2,6,../datasets/clusters,-5.0239484E8,0.3111,1.02168,128,0.0,8,
5.47203891E8,3,6,../datasets/clusters,-5.47203891E8,0.4945,1.00912,128,0.0,8,
5.48769302E8,4,6,../datasets/clusters,-5.48769302E8,0.4872,1.00905,128,0.0,8,
5.49243363E8,5,6,../datasets/clusters,-5.49243363E8,0.5049,1.00854,128,0.0,8,
4.0554277E8,1,7,../datasets/clusters,-4.0554277E8,0.0791,1.06906,128,0.0,8,
5.41510627E8,2,7,../datasets/clusters,-5.41510627E8,0.2966,1.02229,128,0.0,8,
6.54570762E8,3,7,../datasets/clusters,-6.54570762E8,0.5835,1.00581,128,0.0,8,
6.98793703E8,4,7,../datasets/clusters,-6.98793703E8,0.7205,1.00232,128,0.0,8,
7.00725743E8,5,7,../datasets/clusters,-7.00725743E8,0.7225,1.00218,128,0.0,8,
7.00433216E8,6,7,../datasets/clusters,-7.00433216E8,0.7219,1.00217,128,0.0,8,
4.21291081E8,1,8,../datasets/clusters,-4.21291081E8,0.0769,1.06828,128,0.0,8,
5.5759152E8,2,8,../datasets/clusters,-5.5759152E8,0.3016,1.02218,128,0.0,8,
6.93410829E8,3,8,../datasets/clusters,-6.93410829E8,0.5811,1.00587,128,0.0,8,
8.0683267E8,4,8,../datasets/clusters,-8.0683267E8,0.7748,1.00144,128,0.0,8,
8.50931631E8,5,8,../datasets/clusters,-8.50931631E8,0.8532,1.00056,128,0.0,8,
8.52582007E8,6,8,../datasets/clusters,-8.52582007E8,0.8531,1.00054,128,0.0,8,
8.52738424E8,7,8,../datasets/clusters,-8.52738424E8,0.8531,1.00054,128,0.0,8,
4.37397695E8,1,9,../datasets/clusters,-4.37397695E8,0.0833,1.06784,128,0.0,8,
5.73453405E8,2,9,../datasets/clusters,-5.73453405E8,0.308,1.0218,128,0.0,8,
7.09328854E8,3,9,../datasets/clusters,-7.09328854E8,0.5744,1.00593,128,0.0,8,
8.45422693E8,4,9,../datasets/clusters,-8.45422693E8,0.7662,1.0015,128,0.0,8,
9.58354026E8,5,9,../datasets/clusters,-9.58354026E8,0.8777,1.00037,128,0.0,8,
1.002848872E9,6,9,../datasets/clusters,-1.002848872E9,0.9214,1.00014,128,0.0,8,
1.004769159E9,7,9,../datasets/clusters,-1.004769159E9,0.9258,1.00014,128,0.0,8,
1.004337959E9,8,9,../datasets/clusters,-1.004337959E9,0.9276,1.00013,128,0.0,8,
