size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
7.09857171E8,5,7,../datasets/clusters,5.5457591484375,0.7226,1.00215,128,0.0,16,
7.09835734E8,6,7,../datasets/clusters,5.545591671875,0.721,1.00222,128,0.0,16,
6.56217884E8,1,8,../datasets/clusters,5.12670221875,0.3928,1.01592,128,0.0,16,
7.93662454E8,2,8,../datasets/clusters,6.200487921875,0.6539,1.00363,128,0.0,16,
8.74003294E8,3,8,../datasets/clusters,6.828150734375,0.8221,1.00085,128,0.0,16,
8.85266285E8,4,8,../datasets/clusters,6.9161428515625,0.8546,1.00056,128,0.0,16,
8.85821189E8,5,8,../datasets/clusters,6.9204780390625,0.851,1.00057,128,0.0,16,
8.858583E8,6,8,../datasets/clusters,6.92076796875,0.8534,1.00054,128,0.0,16,
8.8584055E8,7,8,../datasets/clusters,6.920629296875,0.8609,1.00051,128,0.0,16,
6.88255441E8,1,9,../datasets/clusters,5.3769956328125,0.3178,1.02215,128,0.0,16,
8.32286424E8,2,9,../datasets/clusters,6.5022376875,0.6599,1.00362,128,0.0,16,
9.69666329E8,3,9,../datasets/clusters,7.5755181953125,0.8189,1.00087,128,0.0,16,
1.050011355E9,4,9,../datasets/clusters,8.2032137109375,0.9084,1.00022,128,0.0,16,
1.061272865E9,5,9,../datasets/clusters,8.2911942578125,0.9262,1.00013,128,0.0,16,
1.061823497E9,6,9,../datasets/clusters,8.2954960703125,0.9246,1.00014,128,0.0,16,
1.061874307E9,7,9,../datasets/clusters,8.2958930234375,0.9273,1.00013,128,0.0,16,
1.061858988E9,8,9,../datasets/clusters,8.29577334375,0.9291,1.00013,128,0.0,16,
2.29999666E8,1,10,../datasets/clusters,1.796872390625,0.001,1.21027,128,0.0,2,
3.57755582E8,2,10,../datasets/clusters,2.794965484375,0.0093,1.15252,128,0.0,2,
4.88608416E8,3,10,../datasets/clusters,3.81725325,0.1241,1.06193,128,0.0,2,
6.16666175E8,4,10,../datasets/clusters,4.8177044921875,0.3358,1.0203,128,0.0,2,
7.48946385E8,5,10,../datasets/clusters,5.8511436328125,0.5779,1.00634,128,0.0,2,
8.76704769E8,6,10,../datasets/clusters,6.8492560078125,0.7622,1.00169,128,0.0,2,
1.006105688E9,7,10,../datasets/clusters,7.8602006875,0.8721,1.00042,128,0.0,2,
