size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
5.47028328E8,3,6,../datasets/sift,4.231345358910891,0.8442,1.00197,128,0.0,32,
5.481146E8,4,6,../datasets/sift,4.239747834158416,0.8452,1.00198,128,0.0,32,
5.48019408E8,5,6,../datasets/sift,4.23901150990099,0.8537,1.00183,128,0.0,32,
6.64293583E8,1,7,../datasets/sift,5.138409521967822,0.5146,1.04666,128,0.0,32,
6.64121067E8,2,7,../datasets/sift,5.137075085086634,0.9213,1.00053,128,0.0,32,
6.64710956E8,3,7,../datasets/sift,5.141637964108911,0.9193,1.00047,128,0.0,32,
6.65673673E8,4,7,../datasets/sift,5.149084723081683,0.9215,1.00046,128,0.0,32,
6.65472929E8,5,7,../datasets/sift,5.147531938428218,0.9193,1.00047,128,0.0,32,
6.65831605E8,6,7,../datasets/sift,5.150306350556931,0.925,1.00044,128,0.0,32,
7.8837298E8,1,8,../datasets/sift,6.09818208539604,0.4444,1.05599,128,0.0,32,
7.9315324E8,2,8,../datasets/sift,6.135158106435644,0.9581,1.00017,128,0.0,32,
7.93753788E8,3,8,../datasets/sift,6.13980343440594,0.9591,1.00012,128,0.0,32,
7.94762924E8,4,8,../datasets/sift,6.147609251237624,0.9597,1.00012,128,0.0,32,
7.94511602E8,5,8,../datasets/sift,6.145665238242574,0.9608,1.00012,128,0.0,32,
7.95056314E8,6,8,../datasets/sift,6.149878666460396,0.9587,1.00012,128,0.0,32,
7.94393865E8,7,8,../datasets/sift,6.144754525061881,0.9615,1.00011,128,0.0,32,
9.12059982E8,1,9,../datasets/sift,7.0549194152227725,0.3498,1.08398,128,0.0,32,
9.44423351E8,2,9,../datasets/sift,7.305254880878713,0.966,1.00015,128,0.0,32,
9.52317042E8,3,9,../datasets/sift,7.366313753094059,0.9773,1.00004,128,0.0,32,
9.52529989E8,4,9,../datasets/sift,7.367960929764852,0.9784,1.00003,128,0.0,32,
9.53734682E8,5,9,../datasets/sift,7.377279409034654,0.9796,1.00003,128,0.0,32,
9.54160935E8,6,9,../datasets/sift,7.380576539294554,0.9793,1.00003,128,0.0,32,
9.53586302E8,7,9,../datasets/sift,7.3761316676980195,0.9803,1.00003,128,0.0,32,
9.5313655E8,8,9,../datasets/sift,7.372652769183168,0.9805,1.00003,128,0.0,32,
3.1891796E8,1,10,../datasets/sift,2.4668777846534655,0.1394,1.21772,128,0.0,4,
4.45313274E8,2,10,../datasets/sift,3.4445643100247523,0.3864,1.0551,128,0.0,4,
5.77002343E8,3,10,../datasets/sift,4.463198816522278,0.6466,1.01278,128,0.0,4,
7.09795754E8,4,10,../datasets/sift,5.49037557240099,0.7981,1.00374,128,0.0,4,
8.40204536E8,5,10,../datasets/sift,6.499106868811881,0.9001,1.00076,128,0.0,4,
9.67184341E8,6,10,../datasets/sift,7.481314518873762,0.9477,1.00019,128,0.0,4,
1.092130762E9,7,10,../datasets/sift,8.447793641707921,0.9768,1.00004,128,0.0,4,
1.183946545E9,8,10,../datasets/sift,9.158002359220298,0.9866,1.00001,128,0.0,4,
1.208934705E9,9,10,../datasets/sift,9.351289487933169,0.9914,1.00001,128,0.0,4,
9.8388671E7,1,2,../datasets/sift,0.7610509823638614,0.0924,1.30226,128,0.0,4,
2.10473176E8,1,3,../datasets/sift,1.6280412747524753,0.1711,1.18072,128,0.0,4,
2.26218521E8,2,3,../datasets/sift,1.7498338567450495,0.2324,1.12544,128,0.0,4,
2.52843961E8,1,4,../datasets/sift,1.955785589418317,0.1676,1.17627,128,0.0,4,
3.44661118E8,2,4,../datasets/sift,2.6660049350247523,0.39,1.05424,128,0.0,4,
3.70784258E8,3,4,../datasets/sift,2.86807130259901,0.488,1.03293,128,0.0,4,
2.6903663E8,1,5,../datasets/sift,2.0810382889851486,0.149,1.20352,128,0.0,4,
3.93856306E8,2,5,../datasets/sift,3.046537020420792,0.3972,1.05198,128,0.0,4,
4.88716316E8,3,5,../datasets/sift,3.780293285891089,0.6436,1.0135,128,0.0,4,
4.99871705E8,4,5,../datasets/sift,3.8665818765470297,0.7118,1.00806,128,0.0,4,
2.79646681E8,1,6,../datasets/sift,2.163108609220297,0.1715,1.17258,128,0.0,4,
